PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;60533;60533;48520;48520-60533;3872;3872-48520;50021294;1188827-3872
;;60545;60545;48322;48322-60545;3349;1385440-48322;50093784;1433384-1385440
;;60545;60545;48322;48322-60545;3349;1385440-48322;50205940;1503566-1385440
;;60545;60545;48322;48322-60545;3349;1385440-48322;50092591;1188816-1385440
;;60545;60545;48322;48322-60545;3349;1385440-48322;50189252;1559857-1385440
;;60545;60545;48322;48322-60545;3348;1385436-48322;50189253;1559856-1385436
;;60545;60545;48322;48322-60545;3348;1385436-48322;50176221;1568148-1385436
;;60545;60545;48322;48322-60545;3348;1385436-48322;50205939;1503570-1385436
;;60540;1433457;43419;1433458-1433457;11673;1433450-1433458;50205929;1503606-1433450
;;60540;1433457;43419;1433458-1433457;482637;1433459-1433458;50205930;1503604-1433459
;;60559;60559;48344;48344-60559;3413;3413-48344;50093851;1414593-3413
;;60567;771739;44631;771738-771739;21756;914907-771738;50189360;1559785-914907
;;60567;771739;44631;771738-771739;21756;914907-771738;50205841;1503850-914907
;;60567;771739;44631;771738-771739;11677;771740-771738;50205840;1503854-771740
;;60567;771739;44631;771738-771739;11677;771740-771738;50093498;1414830-771740
;;60579;60579;53005;53005-60579;11868;1270074-53005;50192447;1559572-1270074
;;60588;881094;44058;881093-881094;21742;21742-881093;50189198;1559894-21742
;;60588;881094;44058;881093-881094;21742;21742-881093;50094278;1414351-21742
;;60584;60584;52950;52950-60584;11713;1469088-52950;50192798;1559339-1469088
;;60584;60584;52950;52950-60584;11712;1469091-52950;50192799;1559338-1469091
;;60581;837896;42863;837886-837896;3790;1469653-837886;50205334;1505178-1469653
;;60581;837896;42863;837886-837896;3790;1469653-837886;50189206;1559888-1469653
;;60581;837896;42863;837886-837896;426866;1397036-837886;50189209;1559887-1397036
;;60709;60709;52955;52955-60709;11727;1469117-52955;50020666;1184442-1469117
;;60708;60708;53001;53001-60708;11862;1469381-53001;50192460;1559567-1469381
;;60707;60707;52973;52973-60707;11772;1349073-52973;50020748;1184426-1349073
;;60707;60707;52973;52973-60707;11773;1469225-52973;50020749;1188886-1469225
;;60707;60707;52973;52973-60707;11773;1469225-52973;50192679;1559430-1469225
;;60704;996533;52960;996532-996533;11744;1433671-996532;50205931;1503600-1433671
;;60722;60722;48282;48282-60722;10475;1469451-48282;50094167;1433365-1469451
;;60722;60722;48290;48290-60722;3287;1469423-48290;50192429;1516378-1469423
;;60728;60728;48221;48221-60728;3167;3167-48221;50192591;1559482-3167
;;60728;60728;48221;48221-60728;3167;3167-48221;50093572;1414764-3167
;;60727;60727;48218;48218-60727;3165;1469173-48218;50192720;1559407-1469173
;;60727;60727;48218;48218-60727;10170;1469176-48218;50192719;1559408-1469176
;;60726;60726;52996;52996-60726;11843;1325061-52996;50192540;1559513-1325061
;;60726;60726;52996;52996-60726;11842;1325057-52996;50192541;1559512-1325057
;;60738;60738;53050;53050-60738;11971;993767-53050;50120215;1184456-993767
;;60738;60738;53050;53050-60738;11971;993767-53050;50021128;1188850-993767
;;60744;1006451;43634;1006558-1006451;3111;1249555-1006558;50093512;1414820-1249555
;;60629;60629;52976;52976-60629;11781;1469247-52976;50192660;1559442-1469247
;;60629;60629;52976;52976-60629;11782;1469250-52976;50192659;1559443-1469250
;;60635;60635;48229;48229-60635;10176;1469720-48229;50189262;1559848-1469720
;;60653;60653;52975;52975-60653;11777;1319784-52975;50020757;1184428-1319784
;;60653;60653;52975;52975-60653;11777;1319784-52975;50205949;1503542-1319784
;;60653;60653;52975;52975-60653;11779;1469241-52975;50192669;1481737-1469241
;;60653;60653;52975;52975-60653;11778;11778-52975;50192666;1481743-11778
;;60653;60653;52975;52975-60653;11776;1319781-52975;50020756;1134530-1319781
